year,month,hour,city,state,make,model,model_year,vin,mileage_category,weather,roadway_type,roadway_surface,lighting,sv_pre_crash_movement,cp_pre_crash_movement,collision_category,highest_injury_severity_alleged
2025,6,20,Blythewood,SC,Tesla,Model Y,2023,7SAYGDEE0PA,Low,Cloudy,Highway / Freeway,Dry,Daylight,Proceeding Straight,Proceeding Straight,CP Rear-Ended By SV,Unknown
2025,6,0,Beaumont,CA,Tesla,Model 3,2024,5YJ3E1EA7RF,Low Medium,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,6,16,Wye Mills,MD,Tesla,Model S,2022,5YJSA1E52NF,Low Medium,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,6,19,Mountain View,CA,Tesla,Model Y,2024,7SAYGDEE1RF,Low,Clear,Highway / Freeway,Dry,Daylight,"Other, see Narrative",Unknown,Other / Unknown,Unknown
2025,5,11,Bow,WA,Rivian,R1T,2022,7FCTGAAA4NN,Low Medium,Unknown,Highway / Freeway,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,5,18,Unknown,UNK,Rivian,R1S,2025,7PDSGBBAXSN,Low,Unknown,Highway / Freeway,Unknown,Unknown,Changing Lanes,Unknown,Other / Unknown,Unknown
2025,5,0,Unknown,UNK,Rivian,R1T,2022,7FCTGAAA6NN,Low Medium,Unknown,Unknown,Unknown,Unknown,Lane / Road Departure,Unknown,Other / Unknown,No Injuries Reported
2025,6,22,Nashville,TN,Tesla,Model Y,2025,7SAYGAEE0SF,Low,Cloudy,Intersection,Dry,Daylight,Proceeding Straight,Proceeding Straight,Side-Impact SV Left,Unknown
2025,6,5,Cocolalla,ID,Tesla,Model 3,2018,5YJ3E1EA6JF,High Medium,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,6,22,San Antonio,TX,Tesla,Model 3,2025,5YJ3E1EA0SF,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,6,8,Los Angeles,CA,Tesla,Model X,2022,7SAXCBE63NF,Low Medium,Clear,Street,Dry,Dark - Lighted,Proceeding Straight,Parked,CP Rear-Ended By SV,Unknown
2025,6,23,Bellevue,WA,Tesla,Model 3,2020,5YJ3E1EA9LF,Low Medium,Clear,Highway / Freeway,Dry,Daylight,Proceeding Straight,Changing Lanes,SV Rear-Ended By CP,Unknown
