Year,Month,Hour,Vehicle,Driver / Operator Type,City,State,Roadway Type,Roadway Surface,Roadway Description,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Speed Difference Category,Mileage Category
2025,6,20,Tesla Model Y 2023,Consumer,Blythewood,SC,Highway / Freeway,Dry,No Unusual Conditions,Daylight,N,N,Y,N,N,N,N,N,N,SUV,Unknown,Proceeding Straight,Unknown,Unknown,Y,N,N,Y,N,N,Y,N,N,N,N,Proceeding Straight,Yes,Unknown,Unknown,N,N,N,Y,N,N,Y,N,N,Y,N,N,At or Below Limit,Medium
2025,6,0,Tesla Model 3 2024,Consumer,Beaumont,CA,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,Y,N,N,Unknown,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,Y,Unknown,Yes,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Y,At or Below Limit,High
2025,6,16,Tesla Model S 2022,Consumer,Wye Mills,MD,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,Y,N,N,Unknown,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,Y,Unknown,Yes,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Y,At or Below Limit,High
2025,6,19,Tesla Model Y 2024,Consumer,Mountain View,CA,Highway / Freeway,Dry,No Unusual Conditions,Daylight,Y,N,N,N,N,N,N,N,N,Other Fixed Object,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,"Other, see Narrative",No,Yes,Unknown,N,Y,Y,Y,N,N,N,N,N,N,N,N,At or Below Limit,Medium
2025,6,22,Tesla Model Y 2025,Consumer,Nashville,TN,Intersection,Dry,No Unusual Conditions,Daylight,N,N,Y,N,N,N,N,N,N,Passenger Car,Unknown,Proceeding Straight,Unknown,Unknown,N,N,Y,N,N,Y,N,N,Y,N,N,Proceeding Straight,Yes,Unknown,Unknown,N,N,Y,N,N,N,N,N,N,N,N,N,At or Below Limit,Medium
2025,6,5,Tesla Model 3 2018,Consumer,Cocolalla,ID,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,Y,N,N,Unknown,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,Y,Unknown,Yes,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Y,Slightly Over,Very High
2025,6,22,Tesla Model 3 2025,Consumer,San Antonio,TX,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,Y,N,N,Unknown,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,Y,Unknown,Yes,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Y,At or Below Limit,Medium
2025,6,8,Tesla Model X 2022,Consumer,Los Angeles,CA,Street,Dry,No Unusual Conditions,Dark - Lighted,Y,N,N,N,N,N,N,N,N,SUV,Unknown,Parked,Unknown,Unknown,Y,Y,N,N,N,N,N,N,N,N,N,Proceeding Straight,No,Yes,Unknown,N,N,N,N,N,N,N,N,Y,Y,N,N,At or Below Limit,High
2025,6,23,Tesla Model 3 2020,Consumer,Bellevue,WA,Highway / Freeway,Dry,No Unusual Conditions,Daylight,Y,N,N,N,N,N,N,N,N,Passenger Car,Unknown,Changing Lanes,Unknown,Unknown,Y,Y,Y,N,N,N,N,N,N,N,N,Proceeding Straight,Yes,Unknown,Unknown,N,N,N,N,N,N,N,Y,Y,Y,N,N,Moderately Over,High
2025,6,20,Tesla Model 3 2022,Consumer,Newburyport,MA,Intersection,Wet,No Unusual Conditions,Daylight,N,N,Y,N,Y,N,N,N,N,Passenger Car,Serious,Proceeding Straight,Yes,Unknown,N,N,Y,N,N,Y,N,N,Y,N,N,Proceeding Straight,Yes,Unknown,Unknown,N,N,Y,N,N,N,N,N,Y,Y,N,N,Slightly Over,Very High
